About,Informazioni
Congratulations! (Magento eBay Integration),Complimenti! (Integrazione eBay di Magento)
Configuration Wizard (Magento eBay Integration),Configurazione guidata (Integrazione eBay di Magento)
Welcome to Magento eBay Integration!,Integrazione eBay di Magento
Configuration Wizard (New 3rd Party Listings functionality),Configurazione guidata (nuova funzionalità Inserzioni di terze parti)
Invalid component mode.,Modalità componente non valida.
"The ""Receive"" action for eBay account: ""%s"" is started. Please wait...","Azione ""Ricevi"" per account eBay ""%s"" iniziata. Attendi..."
Qty Reserve Cancellation Synchronization,Sincronizzazione annullamento prenotazione quantità
eBay Qty Reserve Cancellation Synchronization,Sincronizzazione annullamento prenotazione quantità eBay
"Task ""%s"" is started. Please wait...","Attività ""%s"" iniziata. Attendi..."
"Task ""%s"" is finished. Please wait...","Attività ""%s"" completata. Attendi..."
"Task ""%s"" for eBay account: ""%s"" is started. Please wait...","Attività ""%s"" per account eBay ""%s"" iniziata. Attendi..."
"The ""List"" action is started. Please wait...","Azione ""Inserzione"" iniziata. Attendi..."
"The ""List"" action is finished. Please wait...","Azione ""Inserzione"" completata. Attendi..."
Magento Order was not created. Reason: %s,Ordine Magento non creato. Motivo: %s
"The 3rd Party Listings are the items, which were listed on eBay without using M2E Pro
                extension. <br/>
                To allow importing of these listings for the current eBay Account, set Import eBay listings to <i>Yes</i>.
                Imported Listings can be found in %1$s > Manage Listings > 3rd Party Listings.
                <br/><br/>

                <b>Note:</b> The 3rd Party Listings Synchronization must be enabled in %1$s > Configuration > Synchronization.
                <br/><br/>
                To map the products of the 3rd Party Listings with existing products in Magento by Custom Label (SKU)
                or Title, set Product Mapping to <i>Yes</i> and choose appropriate attribute(s).
                A Magento product will be mapped if at least one of the chosen attributes meets the same
                value in eBay Listing as it has in Magento.
                <br/><br/>
                Mapped 3rd Party Listings can be synchronized according to the rules you can set by clicking on the Synchronization Settings button.
                <br/><br/>
                <b>Note:</b> Auto mapping action is performed only once during the first
                3rd Party Listings Synchronization. Afterwards, it can be performed manually on
                the 3rd Party Listings page (%1$s > Manage Listings > 3rd Party Listings).

                ","Le inserzioni di terze parti sono gli oggetti che sono stati messi in vendita su eBay senza utilizzare l'estensione
                M2E Pro. <br/>
                Per consentire l'importazione di queste inserzioni per l'account eBay corrente, imposta Importa inserzioni eBay su <i>Sì</i>.
                Le inserzioni importate sono disponibili in %1$s > Gestione inserzioni > Inserzioni di terze parti.
                <br/><br/>

                <b>Nota:</b> la sincronizzazione delle inserzioni di terze parti deve essere abilitata in %1$s > Configurazione > Sincronizzazione.
                <br/><br/>
                Per associare i prodotti delle inserzioni di terze parti ai prodotti esistenti in Magento in base all'etichetta personalizzata (codice prodotto)
                o al titolo, imposta Associazione prodotti su <i>Sì</i> e scegli gli attributi appropriati.
                Un prodotto Magento verrà associato se almeno uno degli attributi scelti soddisfa, nell'inserzione eBay, lo stesso 
                valore presente in Magento.
                <br/><br/>
                Le inserzioni di terze parti associate possono essere sincronizzate in base alle regole che puoi impostare facendo clic sul pulsante Impostazioni sincronizzazione.
                <br/><br/>
                <b>Nota:</b> l'azione di associazione automatica viene effettuata solo una volta durante la prima
                sincronizzazione delle inserzioni di terze parti. Successivamente, può essere effettuata manualmente nella pagina
                                Inserzioni di terze parti (%s > Gestione inserzioni > Inserzioni di terze parti).

                "
"This section displays all <i>Enabled</i> Marketplaces in eBay > Configuration > Marketplaces.
And allows you to choose Store Views the items' information for Synchronization processes has to be taken from depending on the 3rd Party Listing Marketplaces.
<br/><br/>
<b>Note:</b> If the product doesn't have information in specified Store View, then all necessary data will be taken from default values of this product.
","In questa sezione vengono visualizzati tutti i mercati <i>Abilitati</i> in eBay > Configurazione > Mercati.
Inoltre, è possibile scegliere i negozi da cui è necessario acquisire le informazioni sugli oggetti per i processi di sincronizzazione a seconda dei mercati delle inserzioni di terze parti.
<br/><br/>
<b>Nota:</b> se nel negozio specificato non sono disponibili informazioni sul prodotto, tutti i dati necessari saranno acquisiti dai valori predefiniti di questo prodotto.
"
Whether an order has to be created in Magento if a sold product belongs to M2E Pro Listings.,Opzione da selezionare quando un ordine deve essere creato in Magento se un prodotto venduto appartiene alle inserzioni M2E Pro.
If Store View has to be automatically taken from the listing or manually chosen from available Store View values.,Nel caso in cui il negozio debba essere acquisito automaticamente dall'inserzione o scelto manualmente dai valori di negozi disponibili.
Whether an order has to be created in Magento if a sold product does not belong to M2E Pro Listings.,Opzione da selezionare quando un ordine deve essere creato in Magento se un prodotto venduto non appartiene alle inserzioni M2E Pro.
What has to be done if a listed product does not exist in Magento.,Azione da effettuare se un prodotto messo in vendita non è disponibile in Magento.
"<b>Note:</b> Only simple products without variations can be created in Magento. If there is a product with variations on eBay, M2E Pro creates different simple products for each variation.","<b>Nota:</b> in Magento è possibile creare solo prodotti semplici senza varianti. Se su eBay è presente un prodotto con varianti, in M2E Pro vengono creati più prodotti semplici, uno per ogni variante."
"Necessary emails will be sent according to Magento settings in Magento > System > Configuration > Sales Emails.<br/>Hold Ctrl button, to choose more, than one option. TODO TEXT about missing customer account notification",Le email necessarie verranno inviate in base alle impostazioni di Magento in Magento > Sistema > Configurazione > Email di vendita.<br/>Per scegliere più opzioni tieni premuto il tasto CTRL. TODO TEXT sulla notifica di account cliente mancante
In %d days,Entro %d giorni
Reserve Qty<br />Until Order Is Created,Prenotazione quantità<br />Fino a creazione ordine
For %d day,Per %d giorno
For %d days,Per %d giorni
"In this block you can configure mapping between eBay Order state and Magento Order statuses.
                Depending on the state of eBay Order you can either manually determine certain statuses for Magento Order and enable automatic Shipment and Invoice
                creation by selecting appropriate check-boxes, or use predefined default settings. (i.e. eBay: Order is Paid -> Magento Order is Processing).<br/>
                <br/><b>Note:</b> The Order activity in Magento is automatically reflected in eBay Order:
                <ul class=""list"">
                    <li><b>Invoice is created</b> - the Payment status becomes Paid on eBay.</li>
                    <li><b>Shipment is created</b> - the Shipment status becomes Shipped on eBay. If the Tracking Number(s) is specified, it also
                    appears in eBay Order.</li>
                </ul>","In questo blocco puoi configurare l'associazione tra lo stato dell'ordine eBay e gli stati dell'ordine Magento.
                A seconda dello stato dell'ordine eBay, puoi determinare manualmente alcuni stati per l'ordine Magento, nonché abilitare la creazione automatica della spedizione e della fattura
                selezionando le caselle di controllo appropriate o utilizzando le impostazioni predefinite. (ad esempio eBay: Ordine pagato -> Ordine Magento in fase di elaborazione).<br/>
                <br/><b>Nota:</b> l'attività dell'ordine in Magento viene riflessa automaticamente nell'ordine eBay:
                <ul class=""list"">
                    <li><b>Fattura creata</b>: su eBay lo stato del pagamento viene impostato su Pagato.</li>
                    <li><b>Spedizione creata</b>: su eBay lo stato della spedizione viene impostato su Spedito. In caso di indicazione dei numeri di tracciamento, saranno visualizzati anche
                    nell'ordine eBay.</li>
                </ul>"
"Actions, which have to be done on products added to categories.",Azioni da effettuare con i prodotti aggiunti alle categorie.
"Actions, which have to be done on listed products deleted from categories.",Azioni da effettuare con i prodotti messi in vendita eliminati dalle categorie.
"This section allows you to create a Listing. Listing is a group of items, which have the same
        Attribute Set and were combined to be listed on eBay.<br/><br/>
        Creating a Listing requires four types of templates (Selling Format, General, Description, Synchronization) to be created in advance,
        that allows reaching a high level of flexibility in listing and synchronization processes. <br/>
            It is also possible to create templates by clicking the <span style=""text-decoration: underline;"">Add New</span> button next to the appropriate template option. Do not forget to press
            the <span style=""text-decoration: underline;"">Refresh</span> button after the new template creation in order to see the newly added template in the dropdown list.<br/>
        <br/>In the Listing Configuration block you are required to choose appropriate Selling Format, General and Description Templates,
        which determine how the items of this Listing will be presented on eBay.<br/>
        <br/>In the Synchronization Settings block you are required to choose a Synchronization Template and its settings.
        This determines the actions, which have to be done on the eBay Listings depending on any changes of their products happened in Magento,
        and of their templates that are used in the Listing Configuration settings.<br/>
        <br/>The Products Filter block allows you to filter the products, which you would like to add to the Listing.
        The filtered products will be shown on the next page after the <span style=""text-decoration: underline;"">Next</span> button is pressed at the top right corner.","In questa sezione puoi creare un'inserzione. Un'inserzione è costituita da un gruppo di oggetti che dispongono dello stesso
        insieme di attributi e che sono stati combinati per essere messi in vendita su eBay.<br/><br/>
        La creazione di un'inserzione richiede innanzitutto la creazione di quattro tipi di modelli (Formato di vendita, Generale, Descrizione, Sincronizzazione),
        in quanto consentono di ottenere un livello elevato di flessibilità nei processi di messa in vendita e sincronizzazione. <br/>
            I modelli possono essere creati anche facendo clic sul pulsante <span style=""text-decoration: underline;"">Aggiungi nuovo</span> accanto all'opzione del modello appropriato. Non dimenticarti di premere il
            pulsante <span style=""text-decoration: underline;"">Aggiorna</span> dopo la creazione del nuovo modello per poterlo visualizzare nell'elenco a discesa.<br/>
        <br/>Nel blocco Configurazione inserzione devi scegliere i modelli Formato di vendita, Generale e Descrizione appropriati,
        attraverso i quali viene determinata la modalità di presentazione degli oggetti di questa inserzione su eBay.<br/>
        <br/>Nel blocco Impostazioni sincronizzazione devi scegliere un modello di sincronizzazione e le relative impostazioni.
        In questo modo vengono determinate le azioni da effettuare nelle inserzioni eBay a seconda delle modifiche apportate ai relativi prodotti in Magento
        e dei relativi modelli utilizzati nelle impostazioni di configurazione delle inserzioni.<br/>
        <br/>Il blocco Filtro prodotti consente di filtrare i prodotti che desideri aggiungere all'inserzione.
        I prodotti filtrati saranno mostrati nella pagina successiva dopo aver premuto il pulsante <span style=""text-decoration: underline;"">Avanti</span> nell'angolo superiore destro."
