About,Acerca de
"Has to be enabled if changes in catalog are being made directly to database.<br/><b>Note:</b> It is strongly recommended to enable this option if you really need it,<br/>as it is very resource and time consuming and may affect <br/>synchronization performance.","Esta opción debe estar activada si los cambios del catálogo se realizan directamente en la base de datos.<br/><b>Nota:</b> te recomendamos activar esta opción solo si realmente la necesitas, <br/>ya que consume muchos recursos y tiempo y puede afectar <br/>al rendimiento de la sincronización."
The languages that the texts should be translated to were not added.,No se han añadido los idiomas a los que se deben traducir los textos.
Not Translated,Sin traducir
"To add translated text you have to perform the next steps:

<ul class=""list"">
    <li>go to the necessary Language tab;</li>
    <li>click the Add Translation on the appropreate line;</li>
    <li>in the opened text area enter the translated text;</li>
    <li>click Add.</li>
</ul>

To see other suggested translations, click on the <i>Show More Translations</i> link.
If you like one of the suggested translations you can <i>Confirm</i> it.
<br/>When translated text is confirmed 10 times by different users, it will be displayed on the interface.
<br/><br/>
<b>Note:</b> You can see different html symbols, like &lt;b&gt;, &lt;br&gt;, %ver%, %s, %d, %1$s and others. Please, keep these symbols on their places in the translated texts.
It will format texts to be displayed correctly on the interface.","Para añadir texto traducido, tienes que realizar los pasos siguientes:

<ul class=""list"">
    <li>ve a la pestaña de idioma correspondiente;</li>
    <li>pulsa Añadir traducción en la línea correspondiente;</li>
    <li>en el área de texto que se muestra, escribe el texto traducido;</li>
    <li>pulsa Añadir.</li>
</ul>

Para ver otras traducciones sugeridas, pulsa el vínculo <i>Mostrar más traducciones</i>.
Si te gusta una de las traducciones sugeridas, puedes pulsar <i>Confirmar</i>.
<br/>Cuando diferentes usuarios confirmen diez veces el texto traducido, se mostrará en la interfaz.
<br/><br/>
<b>Nota</b>: puedes ver distintos símbolos html, como &lt;b&gt;, &lt;br&gt;, %ver%, %s, %d, %1$s entre otros. Mantén dichos símbolos en su lugar en los textos traducidos.
Permiten asignar un formato a los textos para que se muestren correctamente en la interfaz."
"New <strong>3rd Party Listings</strong> functionality was added to this version. Now you can manage your existing listings (not listed by M2E Pro) from the 3rd Party Listings grid.
            <br/><br/>
            Please complete the Configuration Wizard (see the link below) steps to quickly set up settings for auto and manual synchronization of the 3rd Party Listings.
            <br/><br/>
            Click to
            <a href=""%s"">Start Configuration</a> or
            <a href=""%s"">Skip</a> the Wizard.<br />","Esta versión incorpora una nueva funcionalidad para <strong>anuncios externos</strong>. Ahora puedes gestionar los anuncios que tengas (no publicados por M2E Pro) desde la tabla de anuncios externos.
            <br/><br/>
            Completa los pasos del Asistente de configuración (consulta el vínculo siguiente) para configurar rápidamente los valores de la sincronización automática y manual de los anuncios externos.
            <br/><br/>
            Pulsa 
            <a href=""%s"">Iniciar configuración</a> u
            <a href=""%s"">Omitir</a> asistente.<br/>"
"Set up a cron job to run every 5 minutes (e.g. * * * * *) to enable automatic work of the extension.<br/>
            Otherwise, some processes will not work (i.e. synchronization tasks, logs cleaning).","Configura que un trabajo de cron se ejecute cada cinco minutos (por ejemplo, * * * * *) a fin de activar el funcionamiento automático de la extensión.<br/>
            De lo contrario, algunos procesos no funcionarán (p. ej., tareas de sincronización, limpieza de registros)."
"You have successfully installed <strong>M2E Pro v. %s</strong>.<br/>
             Click
             <a href=""%s"">Start Configuration</a> Wizard to quickly set up main settings or
             <a href=""%s"" onclick=""%s"">Skip</a> it if you intend to set it later. <br/>
             <strong>Note:</strong> If you skip the Wizard, it never starts again. You will be required to set all settings manually.","Has instalado correctamente <strong>M2E Pro v. %s</strong>.<br/>
             Pulsa
             el asistente para <a href=""%s"">iniciar la configuración</a> si deseas configurar rápidamente los valores principales o bien
             <a href=""%s"" onclick=""%s"">Omitir</a> para configurarlos más tarde. <br/>
             <strong>Nota</strong>: si omites el asistente, este no se iniciará de nuevo. Deberás configurar todos los valores manualmente."
Continue,Continuar
Reservation,Reserva
Not Reserved,No reservado
Reserved,Reservado
Released,Lanzado
Canceled,Cancelado
Reserve QTY,Reservar cantidad
Cancel QTY Reserve,Cancelar reserva de cantidad
edit,modificar
Configure,Configurar
Discard,Descartar
List Rules,Reglas de puesta en venta
Congratulations! (Magento eBay Integration),Enhorabuena! (Integración de eBay de Magento)
Configuration Wizard (Magento eBay Integration),Asistente de configuración (Integración de eBay de Magento)
Welcome to Magento eBay Integration!,Bienvenido a Integración de eBay de Magento.
Configuration Wizard (New 3rd Party Listings functionality),Asistente de configuración (nueva función de anuncios externos)
Invalid component mode.,Modo de componente no válido.
"The ""Receive"" action for eBay account: ""%s"" is started. Please wait...","Se ha iniciado la acción ""Recibir"" de la cuenta de eBay ""%"". Por favor, espera..."
Qty Reserve Cancellation Synchronization,Sincronización de cancelación de reserva de cantidad
eBay Qty Reserve Cancellation Synchronization,Sincronización de cancelación de reserva de cantidad de eBay
"Task ""%s"" is started. Please wait...","Se ha iniciado la tarea ""%s"". Por favor, espera..."
"Task ""%s"" is finished. Please wait...","La tarea ""%s"" ha finalizado. Por favor, espera..."
"Task ""%s"" for eBay account: ""%s"" is started. Please wait...","Se ha iniciado la tarea ""%s"" de la cuenta de eBay ""%s"". Por favor, espera..."
"The ""List"" action is started. Please wait...","Se ha iniciado la acción ""Poner en venta"". Por favor, espera..."
"The ""List"" action is finished. Please wait...","La acción ""Poner en venta"" ha finalizado. Por favor, espera..."
Magento Order was not created. Reason: %s,No se ha creado el pedido de Magento. Motivo: %s
"The 3rd Party Listings are the items, which were listed on eBay without using M2E Pro
                extension. <br/>
                To allow importing of these listings for the current eBay Account, set Import eBay listings to <i>Yes</i>.
                Imported Listings can be found in %1$s > Manage Listings > 3rd Party Listings.
                <br/><br/>

                <b>Note:</b> The 3rd Party Listings Synchronization must be enabled in %1$s > Configuration > Synchronization.
                <br/><br/>
                To map the products of the 3rd Party Listings with existing products in Magento by Custom Label (SKU)
                or Title, set Product Mapping to <i>Yes</i> and choose appropriate attribute(s).
                A Magento product will be mapped if at least one of the chosen attributes meets the same
                value in eBay Listing as it has in Magento.
                <br/><br/>
                Mapped 3rd Party Listings can be synchronized according to the rules you can set by clicking on the Synchronization Settings button.
                <br/><br/>
                <b>Note:</b> Auto mapping action is performed only once during the first
                3rd Party Listings Synchronization. Afterwards, it can be performed manually on
                the 3rd Party Listings page (%1$s > Manage Listings > 3rd Party Listings).

                ","Los anuncios externos son los artículos que se pusieron en venta en eBay sin usar la extensión 
                M2E Pro. <br/>
                Para permitir la importación de estos anuncios en la cuenta de eBay actual, establece Importar anuncios de eBay en <i>Sí</i>.
                Los anuncios importados pueden encontrarse en %1$s > Gestionar anuncios > Anuncios externos.
                <br/><br/>

                <b>Nota</b>: la opción Sincronización de anuncios externos debe estar activada en %1$s > Configuración > Sincronización.
                <br/><br/>
                Para asignar los productos de los anuncios externos a los productos existentes en Magento por etiqueta personalizada (número de referencia)
                o título, establece Asignación de productos en <i>Sí</i> y elige los atributos adecuados.
                Se asignará un producto de Magento si al menos uno de los atributos elegidos tiene el mismo
                valor en el anuncio de eBay que en Magento.
                <br/><br/>
                Los anuncios externos asignados se pueden sincronizar según las reglas que se pueden establecer pulsando el botón Configuración de sincronización.
                <br/><br/>
                <b>Nota</b>: la asignación automática se realiza una sola vez durante la primera
                sincronización de los anuncios externos. Después, se puede realizar manualmente en
                la página Anuncios externos (%1$s > Gestionar anuncios > Anuncios externos).

                "
